Time [s],Packet ID,MOSI,MISO
2.338467740000000,0,0x0B,0xFF
2.338468220000000,0,0x00,0xFF
2.338468700000000,0,0x00,0xFF
2.338469180000000,0,0x00,0xFF
2.338469660000000,0,0x00,0xFF
2.338470140000000,0,0x00,0x00
2.338470620000000,0,0x00,0xB8
2.338471100000000,0,0x00,0x12
2.338471580000000,0,0x00,0x3C
2.338472410000000,1,0x0B,0xFF
2.338472890000000,1,0x00,0xFF
2.338473370000000,1,0x00,0xFF
2.338473850000000,1,0x04,0xFF
2.338474330000000,1,0x00,0xFF
2.338474810000000,1,0x00,0x50
2.338475290000000,1,0x00,0x53
2.338475770000000,1,0x00,0x07
2.338476250000000,1,0x00,0x24
2.338477080000000,2,0x0B,0xFF
2.338477560000000,2,0x00,0xFF
2.338478040000000,2,0x00,0xFF
2.338478520000000,2,0x08,0xFF
2.338479000000000,2,0x00,0xFF
2.338479480000000,2,0x00,0x00
2.338479960000000,2,0x00,0x00
2.338480440000000,2,0x00,0x51
2.338480920000000,2,0x00,0x8E

